record_id,current_gpa,sleep_duration,bedtime,wake_time,gpa_quality_flag
578,3.45,8 hours,Between 10pm and 12am,Between 8am and 10am,valid
579,4,8 hours,Between 8pm and 10pm,Before 6am,valid
580,2.7,8 hours,Between 12am and 2am,Between 8am and 10am,valid
581,3.76,8 hours,Between 12am and 2am,Between 10am and 12pm,valid
582,2.6,8 hours,Between 10pm and 12am,Between 6am and 8am,valid
583,3.9,8 hours,Between 10pm and 12am,Between 6am and 8am,valid
584,3.76,8 hours,Between 10pm and 12am,Between 6am and 8am,valid
585,3.63,8 hours,Between 10pm and 12am,Before 6am,valid
586,2.8,9 hours,Between 10pm and 12am,Between 8am and 10am,valid
587,2.7,9 hours,Between 12am and 2am,Between 8am and 10am,valid
588,2.5,9 hours,Between 10pm and 12am,Between 8am and 10am,valid
589,3.7,9 hours,Between 8pm and 10pm,Between 8am and 10am,valid
590,3.2,9 hours,Between 10pm and 12am,Between 8am and 10am,valid
591,2.5,9 hours,Between 10pm and 12am,Between 6am and 8am,valid
592,3.01,9 hours,Between 10pm and 12am,Between 8am and 10am,valid
593,3,9 hours,Between 12am and 2am,Between 10am and 12pm,valid
594,3.674,9 hours,Between 12am and 2am,Between 10am and 12pm,valid
595,3.64,9 hours,Between 10pm and 12am,Between 10am and 12pm,valid
596,2.9,9 hours,Between 10pm and 12am,Between 6am and 8am,valid
597,3.5,9 hours,Between 12am and 2am,Between 10am and 12pm,valid
598,2.4,9 hours,After 2am,Between 10am and 12pm,valid
599,3.6,9 hours,Between 10pm and 12am,Between 10am and 12pm,valid
600,2.5,9 hours,Between 10pm and 12am,Between 6am and 8am,valid
601,3,9 hours,Between 10pm and 12am,Between 8am and 10am,valid
602,2.5,9 hours,Between 10pm and 12am,Between 8am and 10am,valid
603,2.51,9 hours,Between 10pm and 12am,Between 6am and 8am,valid
604,3.83,9 hours,Between 12am and 2am,Between 10am and 12pm,valid
605,4,9 hours,Between 12am and 2am,Between 8am and 10am,valid
606,3.55,9 hours,Between 10pm and 12am,Between 6am and 8am,valid
607,3.6,9 hours,Between 10pm and 12am,Between 8am and 10am,valid
608,2.9,9 hours,Between 10pm and 12am,Between 8am and 10am,valid
609,3.47,9 hours,Between 10pm and 12am,Between 6am and 8am,valid
610,3.4,9 hours,Between 10pm and 12am,Between 8am and 10am,valid
611,4,9 hours,Between 12am and 2am,Between 10am and 12pm,valid
612,2.67,9 hours,Between 12am and 2am,Between 10am and 12pm,valid
613,2.79,9 hours,Between 8pm and 10pm,Before 6am,valid
614,3.76,9 hours,Between 10pm and 12am,Between 6am and 8am,valid
